Date,Quarter,Month,Region,Country,Product_Category,Product,Salesperson,Customer_Segment,Deal_Stage,Units,Unit_Price,Revenue,Cost,Profit,Discount_Pct,Customer_Satisfaction
2024-01-14,Q1 2024,Jan,North America,Canada,Software,Cloud Suite,Sarah Chen,Education,Closed Won,40,949.27,38018.26,21964.6,16053.66,19.9,4.9
2024-01-14,Q1 2024,Jan,Europe,UK,Hardware,Server Rack,James Clarke,SMB,Qualified,79,4713.34,271967.26,212471.04,59496.22,8.7,3.3
2024-01-14,Q1 2024,Jan,North America,USA,Hardware,Networking Kit,Mike Johnson,Enterprise,Closed Lost,62,411.08,23662.09,18031.4,5630.69,15.6,3.8
2024-01-15,Q1 2024,Jan,North America,USA,Services,Implementation,Elena Rodriguez,Enterprise,Closed Lost,120,534.71,43359.63,33383.74,9975.89,20.5,3.9
2024-01-15,Q1 2024,Jan,Europe,Germany,Hardware,Server Rack,Hans Mueller,SMB,Closed Lost,14,4169.73,66338.74,50567.59,15771.15,5.3,3.9
2024-01-16,Q1 2024,Jan,North America,USA,Hardware,Desktop Plus,Elena Rodriguez,Government,Lead,51,1005.97,40643.4,30836.41,9806.99,6.8,3.4
2024-01-16,Q1 2024,Jan,Europe,UK,Subscriptions,Basic Plan,James Clarke,Government,Lead,398,68.91,19659.09,11644.3,8014.79,10.4,2.8
2024-01-17,Q1 2024,Jan,Europe,Germany,Software,Data Platform,Sophie Dupont,SMB,Lead,26,2351.39,63807.79,41001.98,22805.81,0.6,3.2
2024-01-17,Q1 2024,Jan,North America,Canada,Services,Consulting,Elena Rodriguez,SMB,Proposal,20,255.65,4154.82,3599.55,555.27,4.4,3.3
2024-01-18,Q1 2024,Jan,Asia Pacific,Australia,Services,Training,Liam Zhang,Education,Lead,106,143.95,11343.32,8208.94,3134.38,17.4,4.1
2024-01-20,Q1 2024,Jan,Europe,France,Software,Security Pro,Hans Mueller,SMB,Proposal,46,1218.75,61556.62,39794.26,21762.36,8.5,4.3
2024-01-20,Q1 2024,Jan,North America,Canada,Subscriptions,Enterprise Plan,Mike Johnson,Education,Closed Won,493,530.69,218722.82,125378.55,93344.27,24.0,3.7
2024-01-20,Q1 2024,Jan,North America,USA,Software,Security Pro,Elena Rodriguez,SMB,Lead,49,636.83,25648.68,16001.87,9646.81,3.3,2.9
2024-01-20,Q1 2024,Jan,Asia Pacific,Japan,Subscriptions,Enterprise Plan,Yuki Tanaka,SMB,Closed Won,156,741.36,136666.16,79172.81,57493.35,9.1,3.4
2024-01-21,Q1 2024,Jan,Asia Pacific,Australia,Hardware,Laptop Pro,Raj Patel,SMB,Lead,44,2217.09,96088.68,72160.19,23928.49,1.5,2.5
2024-01-21,Q1 2024,Jan,Europe,UK,Software,Cloud Suite,Sophie Dupont,SMB,Closed Won,40,1887.68,75714.84,43859.47,31855.37,4.5,3.4
2024-01-21,Q1 2024,Jan,North America,USA,Services,Support,Mike Johnson,Enterprise,Closed Lost,92,336.26,30048.06,21841.81,8206.25,11.7,4.3
2024-01-21,Q1 2024,Jan,Latin America,Colombia,Software,Security Pro,Pedro Morales,Government,Lead,35,762.32,18630.15,11186.53,7443.62,6.9,3.6
2024-01-22,Q1 2024,Jan,Asia Pacific,Japan,Hardware,Desktop Plus,Raj Patel,Education,Lead,57,1339.62,62155.69,44170.63,17985.06,18.6,3.5
2024-01-22,Q1 2024,Jan,North America,Canada,Software,Data Platform,Elena Rodriguez,Government,Qualified,36,3401.7,97221.95,55252.66,41969.29,6.6,3.0
2024-01-23,Q1 2024,Jan,Europe,Germany,Services,Consulting,Hans Mueller,Enterprise,Lead,162,495.31,76934.32,65476.97,11457.35,20.1,4.4
2024-01-26,Q1 2024,Jan,Europe,Germany,Subscriptions,Professional Plan,Hans Mueller,Enterprise,Qualified,341,108.88,33459.83,19235.88,14223.95,24.9,4.4
2024-01-27,Q1 2024,Jan,North America,Canada,Hardware,Desktop Plus,Elena Rodriguez,SMB,Closed Lost,48,1374.83,55868.69,40210.39,15658.3,0.4,2.9
2024-01-27,Q1 2024,Jan,Asia Pacific,Japan,Software,Security Pro,Yuki Tanaka,SMB,Lead,14,1155.29,20164.2,12552.11,7612.09,4.1,3.8
2024-01-28,Q1 2024,Jan,Asia Pacific,India,Services,Consulting,Liam Zhang,SMB,Closed Won,154,250.03,33475.92,26465.46,7010.46,3.4,3.3
2024-01-28,Q1 2024,Jan,North America,Canada,Subscriptions,Basic Plan,Sarah Chen,SMB,Proposal,310,75.35,27884.21,17997.22,9886.99,4.5,4.4
2024-01-28,Q1 2024,Jan,Latin America,Mexico,Software,Cloud Suite,Pedro Morales,Enterprise,Lead,46,1701.89,50729.94,32361.77,18368.17,13.6,3.0
2024-01-28,Q1 2024,Jan,North America,USA,Software,Data Platform,Mike Johnson,Enterprise,Closed Won,9,1936.91,16222.4,9011.98,7210.42,15.4,4.9
2024-01-28,Q1 2024,Jan,Latin America,Mexico,Hardware,Desktop Plus,Pedro Morales,Education,Qualified,72,1265.16,54996.51,42946.99,12049.52,19.5,3.1
2024-01-28,Q1 2024,Jan,Asia Pacific,Japan,Hardware,Networking Kit,Raj Patel,Enterprise,Closed Lost,17,1414.09,20433.6,14649.12,5784.48,15.0,3.3
2024-01-29,Q1 2024,Jan,Europe,Germany,Services,Support,James Clarke,SMB,Lead,48,237.64,8267.59,5992.98,2274.61,9.4,3.5
2024-01-29,Q1 2024,Jan,Asia Pacific,India,Software,Data Platform,Liam Zhang,Enterprise,Proposal,9,3367.91,21551.26,12317.07,9234.19,21.0,4.2
2024-01-29,Q1 2024,Jan,Europe,France,Services,Consulting,Hans Mueller,Education,Proposal,188,379.43,65911.54,55978.22,9933.32,23.0,4.6
2024-01-29,Q1 2024,Jan,North America,Canada,Software,Security Pro,Elena Rodriguez,Enterprise,Qualified,14,1645.21,16445.52,9445.91,6999.61,16.0,3.4
2024-01-29,Q1 2024,Jan,North America,USA,Software,Data Platform,Sarah Chen,Enterprise,Negotiation,30,3269.29,110338.54,63212.22,47126.32,10.0,5.0
2024-01-30,Q1 2024,Jan,Asia Pacific,Australia,Software,Data Platform,Raj Patel,SMB,Negotiation,7,2438.0,15649.52,10066.04,5583.48,8.3,4.4
2024-01-30,Q1 2024,Jan,Asia Pacific,Japan,Hardware,Server Rack,Liam Zhang,Education,Lead,10,4648.22,32546.84,23304.37,9242.47,22.2,4.3
2024-01-30,Q1 2024,Jan,Asia Pacific,India,Services,Support,Liam Zhang,Enterprise,Negotiation,159,191.93,20846.07,16402.27,4443.8,24.1,3.2
2024-01-31,Q1 2024,Jan,Latin America,Brazil,Subscriptions,Professional Plan,Carlos Silva,Education,Lead,423,184.87,69336.04,44261.57,25074.47,22.9,4.0
2024-02-01,Q1 2024,Feb,Europe,Germany,Subscriptions,Professional Plan,Hans Mueller,Enterprise,Qualified,196,122.66,24464.49,15016.81,9447.68,15.2,3.8
2024-02-01,Q1 2024,Feb,North America,USA,Subscriptions,Basic Plan,Sarah Chen,SMB,Proposal,24,48.72,1347.6,854.54,493.06,7.8,4.0
2024-02-03,Q1 2024,Feb,Asia Pacific,India,Services,Support,Raj Patel,SMB,Closed Lost,157,288.3,44267.31,33086.0,11181.31,2.2,3.8
2024-02-03,Q1 2024,Feb,Latin America,Brazil,Software,Security Pro,Carlos Silva,Enterprise,Closed Won,41,731.95,28126.83,17983.49,10143.34,18.5,4.1
2024-02-03,Q1 2024,Feb,Latin America,Brazil,Services,Training,Pedro Morales,Government,Proposal,11,65.04,455.02,350.34,104.68,15.2,3.3
2024-02-04,Q1 2024,Feb,Asia Pacific,India,Software,Cloud Suite,Raj Patel,Government,Closed Won,41,1788.96,65792.58,41258.66,24533.92,10.3,3.9
2024-02-04,Q1 2024,Feb,North America,USA,Subscriptions,Basic Plan,Sarah Chen,Enterprise,Closed Lost,396,76.0,33180.84,20006.47,13174.37,11.8,3.7
2024-02-05,Q1 2024,Feb,Europe,UK,Subscriptions,Basic Plan,Hans Mueller,Education,Closed Won,131,37.52,4983.93,3173.48,1810.45,15.5,3.8
2024-02-05,Q1 2024,Feb,North America,USA,Hardware,Laptop Pro,Mike Johnson,Enterprise,Lead,3,1296.09,3468.73,2664.23,804.5,18.9,4.1
2024-02-06,Q1 2024,Feb,Latin America,Brazil,Subscriptions,Enterprise Plan,Ana Gutierrez,Education,Lead,457,697.44,269741.27,154686.51,115054.76,19.4,3.5
2024-02-06,Q1 2024,Feb,Asia Pacific,India,Software,Cloud Suite,Liam Zhang,Government,Lead,3,1873.77,4229.47,2676.49,1552.98,16.4,3.7
2024-02-07,Q1 2024,Feb,Europe,UK,Hardware,Server Rack,Sophie Dupont,Enterprise,Closed Won,91,4119.45,336145.88,265804.5,70341.38,14.6,4.0
2024-02-07,Q1 2024,Feb,Latin America,Colombia,Software,Cloud Suite,Ana Gutierrez,Education,Negotiation,33,1529.34,42764.25,23673.86,19090.39,19.3,3.8
2024-02-08,Q1 2024,Feb,North America,Canada,Services,Implementation,Mike Johnson,Government,Lead,144,711.2,94742.08,74271.11,20470.97,15.9,3.9
2024-02-08,Q1 2024,Feb,North America,USA,Software,Cloud Suite,Elena Rodriguez,SMB,Negotiation,4,1480.77,4767.78,2711.55,2056.23,5.3,2.0
2024-02-08,Q1 2024,Feb,Latin America,Mexico,Software,Security Pro,Pedro Morales,Education,Negotiation,18,1678.41,19191.78,10619.14,8572.64,15.3,2.9
2024-02-09,Q1 2024,Feb,Latin America,Brazil,Software,Data Platform,Pedro Morales,SMB,Closed Lost,25,3031.2,56266.65,34368.65,21898.0,1.0,3.4
2024-02-09,Q1 2024,Feb,North America,Canada,Hardware,Desktop Plus,Elena Rodriguez,Government,Qualified,95,1274.34,84792.03,60084.39,24707.64,17.6,3.1
2024-02-09,Q1 2024,Feb,Asia Pacific,Japan,Hardware,Desktop Plus,Raj Patel,Enterprise,Closed Lost,51,950.46,40620.76,31894.0,8726.76,16.2,4.1
2024-02-09,Q1 2024,Feb,North America,USA,Hardware,Desktop Plus,Sarah Chen,SMB,Closed Won,6,1069.21,7321.42,5630.38,1691.04,8.7,3.4
2024-02-09,Q1 2024,Feb,Latin America,Colombia,Software,Data Platform,Ana Gutierrez,Education,Closed Lost,6,3384.82,17955.12,10520.4,7434.72,15.8,4.0
2024-02-09,Q1 2024,Feb,Europe,Germany,Services,Consulting,Hans Mueller,SMB,Lead,176,484.92,98113.67,86302.81,11810.86,4.2,3.7
2024-02-09,Q1 2024,Feb,Europe,Germany,Hardware,Laptop Pro,Hans Mueller,Education,Lead,97,2763.04,262761.79,185707.01,77054.78,18.3,4.5
2024-02-10,Q1 2024,Feb,North America,USA,Software,Data Platform,Mike Johnson,SMB,Proposal,1,2165.57,2360.69,1499.52,861.17,0.9,3.9
2024-02-11,Q1 2024,Feb,North America,USA,Services,Support,Sarah Chen,SMB,Closed Won,195,118.87,27091.22,20041.47,7049.75,6.5,3.7
2024-02-12,Q1 2024,Feb,North America,Canada,Services,Training,Mike Johnson,Enterprise,Lead,71,231.72,14387.38,10741.43,3645.95,20.5,4.5
2024-02-12,Q1 2024,Feb,North America,Canada,Hardware,Server Rack,Sarah Chen,Education,Closed Lost,6,3011.48,17504.23,13256.13,4248.1,22.5,4.1
2024-02-12,Q1 2024,Feb,North America,USA,Hardware,Laptop Pro,Sarah Chen,Enterprise,Closed Won,93,2683.34,266395.29,194714.27,71681.02,14.6,4.5
2024-02-12,Q1 2024,Feb,North America,Canada,Subscriptions,Professional Plan,Mike Johnson,SMB,Closed Lost,216,105.37,22532.32,13247.03,9285.29,10.0,3.6
2024-02-12,Q1 2024,Feb,Europe,Germany,Services,Consulting,Hans Mueller,SMB,Qualified,71,441.9,36068.59,30035.74,6032.85,4.2,3.4
2024-02-13,Q1 2024,Feb,Asia Pacific,Australia,Services,Implementation,Raj Patel,Enterprise,Closed Won,19,617.7,9682.45,7499.54,2182.91,17.5,4.3
2024-02-13,Q1 2024,Feb,North America,USA,Services,Support,Mike Johnson,Education,Lead,23,256.68,5480.94,4263.96,1216.98,15.6,4.4
2024-02-14,Q1 2024,Feb,North America,USA,Hardware,Server Rack,Elena Rodriguez,SMB,Closed Won,8,3346.38,21162.51,15787.93,5374.58,7.0,3.7
2024-02-14,Q1 2024,Feb,North America,Canada,Hardware,Desktop Plus,Sarah Chen,SMB,Lead,93,805.41,87074.89,69061.57,18013.32,7.0,3.4
2024-02-14,Q1 2024,Feb,North America,USA,Subscriptions,Basic Plan,Sarah Chen,Enterprise,Lead,209,60.28,12645.76,7611.31,5034.45,19.7,5.0
2024-02-15,Q1 2024,Feb,North America,Canada,Subscriptions,Basic Plan,Mike Johnson,SMB,Closed Lost,317,69.7,23745.39,13423.56,10321.83,2.3,3.2
2024-02-15,Q1 2024,Feb,Europe,Germany,Subscriptions,Enterprise Plan,Hans Mueller,Enterprise,Closed Won,358,713.26,253712.86,161013.05,92699.81,17.2,4.3
2024-02-15,Q1 2024,Feb,North America,Canada,Software,Security Pro,Elena Rodriguez,Enterprise,Closed Won,17,1109.11,14343.84,9266.04,5077.8,10.5,3.6
2024-02-16,Q1 2024,Feb,Europe,France,Subscriptions,Enterprise Plan,James Clarke,SMB,Negotiation,292,744.09,161652.06,97516.28,64135.78,7.0,3.0
2024-02-16,Q1 2024,Feb,Latin America,Mexico,Subscriptions,Professional Plan,Ana Gutierrez,SMB,Lead,351,134.5,44811.26,27432.61,17378.65,9.6,3.5
2024-02-16,Q1 2024,Feb,North America,Canada,Software,Cloud Suite,Sarah Chen,Education,Qualified,13,1347.54,16642.12,10090.06,6552.06,24.0,4.2
2024-02-16,Q1 2024,Feb,North America,USA,Subscriptions,Professional Plan,Elena Rodriguez,Education,Closed Won,451,246.6,77423.44,44206.31,33217.13,18.1,3.9
2024-02-17,Q1 2024,Feb,Latin America,Mexico,Subscriptions,Basic Plan,Ana Gutierrez,Education,Qualified,480,69.93,27526.13,16548.22,10977.91,21.9,4.2
2024-02-17,Q1 2024,Feb,North America,Canada,Services,Training,Sarah Chen,SMB,Closed Won,158,114.41,21308.0,15934.47,5373.53,5.7,3.8
2024-02-18,Q1 2024,Feb,North America,USA,Hardware,Desktop Plus,Sarah Chen,SMB,Lead,65,887.65,70751.25,50876.41,19874.84,1.9,3.5
2024-02-18,Q1 2024,Feb,North America,USA,Software,Data Platform,Mike Johnson,SMB,Lead,18,1258.61,24920.48,14567.3,10353.18,0.0,4.0
2024-02-18,Q1 2024,Feb,Asia Pacific,Australia,Services,Training,Liam Zhang,Government,Proposal,88,75.65,5596.04,4211.56,1384.48,6.6,3.3
2024-02-18,Q1 2024,Feb,North America,USA,Software,Cloud Suite,Mike Johnson,SMB,Closed Won,24,1630.89,42323.55,25845.83,16477.72,1.7,4.5
2024-02-19,Q1 2024,Feb,North America,Canada,Hardware,Laptop Pro,Mike Johnson,Enterprise,Closed Lost,6,2729.89,14936.32,10648.29,4288.03,17.1,3.4
2024-02-19,Q1 2024,Feb,Latin America,Colombia,Services,Implementation,Carlos Silva,Government,Closed Lost,26,667.22,17077.1,13850.95,3226.15,14.4,4.5
2024-02-19,Q1 2024,Feb,North America,Canada,Hardware,Desktop Plus,Mike Johnson,SMB,Qualified,29,847.83,25098.48,18349.27,6749.21,7.2,3.6
2024-02-20,Q1 2024,Feb,Asia Pacific,Australia,Software,Security Pro,Raj Patel,Education,Closed Won,14,1190.84,13070.66,7584.22,5486.44,21.6,4.5
2024-02-20,Q1 2024,Feb,Europe,Germany,Subscriptions,Basic Plan,Hans Mueller,SMB,Qualified,464,57.5,31951.97,20636.37,11315.6,0.2,3.5
2024-02-21,Q1 2024,Feb,Europe,France,Hardware,Laptop Pro,Hans Mueller,Enterprise,Lead,55,2073.84,112920.59,82872.36,30048.23,17.5,5.0
2024-02-22,Q1 2024,Feb,North America,USA,Subscriptions,Basic Plan,Sarah Chen,SMB,Closed Lost,487,39.52,24057.8,13248.12,10809.68,0.0,3.8
2024-02-22,Q1 2024,Feb,Europe,UK,Subscriptions,Enterprise Plan,James Clarke,Enterprise,Qualified,69,487.17,22992.48,14400.62,8591.86,14.5,3.1
2024-02-22,Q1 2024,Feb,North America,Canada,Software,Security Pro,Mike Johnson,Government,Lead,47,1079.95,48072.57,28621.36,19451.21,13.9,3.6
2024-02-22,Q1 2024,Feb,Asia Pacific,India,Software,Data Platform,Yuki Tanaka,Education,Proposal,42,3491.49,155177.18,88008.86,67168.32,18.6,4.8
2024-02-23,Q1 2024,Feb,Europe,Germany,Subscriptions,Basic Plan,James Clarke,Enterprise,Closed Won,118,65.82,5480.23,3456.59,2023.64,11.8,3.3
2024-02-23,Q1 2024,Feb,North America,Canada,Hardware,Desktop Plus,Elena Rodriguez,Education,Closed Won,63,1945.73,86585.08,65967.53,20617.55,16.9,4.0
2024-02-23,Q1 2024,Feb,North America,USA,Subscriptions,Enterprise Plan,Sarah Chen,Education,Closed Won,53,788.34,41782.02,25164.99,16617.03,20.0,4.2
2024-02-23,Q1 2024,Feb,North America,USA,Services,Training,Mike Johnson,SMB,Closed Won,98,132.21,13439.86,10866.18,2573.68,5.7,4.2
2024-02-24,Q1 2024,Feb,North America,USA,Subscriptions,Basic Plan,Sarah Chen,Government,Closed Won,406,34.41,15786.62,9895.92,5890.7,9.6,4.4
2024-02-24,Q1 2024,Feb,North America,USA,Services,Support,Mike Johnson,SMB,Proposal,26,273.43,7069.37,5189.82,1879.55,9.6,3.5
2024-02-25,Q1 2024,Feb,Europe,UK,Subscriptions,Enterprise Plan,Sophie Dupont,Government,Closed Lost,419,632.04,260269.77,145167.1,115102.67,6.4,3.8
2024-02-25,Q1 2024,Feb,Europe,Germany,Subscriptions,Professional Plan,Hans Mueller,SMB,Qualified,378,124.48,54883.13,35278.04,19605.09,2.8,4.1
2024-02-25,Q1 2024,Feb,Latin America,Colombia,Software,Cloud Suite,Ana Gutierrez,Education,Closed Won,15,1408.08,18384.95,11382.68,7002.27,17.1,3.9
2024-02-25,Q1 2024,Feb,North America,USA,Software,Data Platform,Elena Rodriguez,Enterprise,Closed Won,23,2060.02,33547.73,19825.71,13722.02,16.7,3.0
2024-02-26,Q1 2024,Feb,Latin America,Colombia,Hardware,Server Rack,Pedro Morales,Enterprise,Negotiation,78,3876.08,201127.85,150591.8,50536.05,11.3,3.6
2024-02-26,Q1 2024,Feb,Asia Pacific,Japan,Software,Cloud Suite,Yuki Tanaka,SMB,Lead,37,1908.9,90991.73,57216.12,33775.61,0.9,3.4
2024-02-26,Q1 2024,Feb,Europe,France,Software,Cloud Suite,James Clarke,Education,Lead,23,1165.52,18207.29,10488.52,7718.77,15.1,2.7
2024-02-27,Q1 2024,Feb,Asia Pacific,Japan,Services,Implementation,Raj Patel,Education,Closed Won,121,776.33,71391.31,58826.19,12565.12,24.0,4.0
2024-02-27,Q1 2024,Feb,Asia Pacific,Australia,Hardware,Server Rack,Liam Zhang,Government,Lead,73,4019.16,240557.58,190552.17,50005.41,8.9,3.2
2024-02-27,Q1 2024,Feb,North America,Canada,Software,Data Platform,Mike Johnson,Enterprise,Qualified,18,2697.94,44124.27,27993.91,16130.36,17.4,3.9
2024-02-27,Q1 2024,Feb,North America,Canada,Subscriptions,Professional Plan,Sarah Chen,Enterprise,Lead,218,91.02,21901.0,14187.24,7713.76,11.7,4.2
2024-02-27,Q1 2024,Feb,North America,USA,Software,Cloud Suite,Sarah Chen,Enterprise,Qualified,36,972.05,37180.91,23949.12,13231.79,15.0,4.3
2024-02-27,Q1 2024,Feb,North America,USA,Services,Implementation,Elena Rodriguez,Enterprise,Negotiation,40,240.52,6730.23,5221.69,1508.54,17.7,3.8
2024-02-27,Q1 2024,Feb,Asia Pacific,Australia,Subscriptions,Enterprise Plan,Raj Patel,Enterprise,Lead,40,671.46,23339.95,13375.68,9964.27,13.1,3.8
2024-02-27,Q1 2024,Feb,North America,Canada,Hardware,Desktop Plus,Mike Johnson,Government,Closed Won,99,936.76,82732.68,65391.26,17341.42,18.9,3.9
2024-02-28,Q1 2024,Feb,Latin America,Brazil,Hardware,Server Rack,Ana Gutierrez,SMB,Lead,34,3245.35,114700.41,86723.39,27977.02,1.0,3.2
2024-02-28,Q1 2024,Feb,Asia Pacific,Japan,Subscriptions,Basic Plan,Yuki Tanaka,Government,Closed Won,176,60.22,11656.47,7170.16,4486.31,15.4,4.1
2024-02-29,Q1 2024,Feb,Europe,UK,Services,Implementation,Hans Mueller,Enterprise,Closed Won,167,744.87,112849.59,86679.58,26170.01,24.4,3.6
2024-03-01,Q1 2024,Mar,Latin America,Brazil,Software,Security Pro,Ana Gutierrez,Government,Closed Lost,24,1102.71,22341.79,12375.83,9965.96,19.6,3.0
2024-03-02,Q1 2024,Mar,Latin America,Colombia,Subscriptions,Professional Plan,Ana Gutierrez,SMB,Lead,376,164.76,64852.11,40098.16,24753.95,0.3,3.9
2024-03-02,Q1 2024,Mar,Latin America,Brazil,Services,Implementation,Pedro Morales,SMB,Qualified,52,604.33,22084.03,16623.41,5460.62,6.3,2.9
2024-03-03,Q1 2024,Mar,North America,Canada,Hardware,Server Rack,Mike Johnson,Enterprise,Qualified,59,3458.16,170570.28,126032.18,44538.1,24.0,3.4
2024-03-03,Q1 2024,Mar,Asia Pacific,Japan,Hardware,Server Rack,Raj Patel,SMB,Closed Lost,84,4983.83,404407.9,299826.77,104581.13,3.4,3.9
2024-03-03,Q1 2024,Mar,Europe,UK,Software,Security Pro,James Clarke,Education,Closed Won,21,1354.12,17858.13,11485.82,6372.31,21.5,3.0
2024-03-03,Q1 2024,Mar,Asia Pacific,Japan,Services,Consulting,Liam Zhang,Government,Closed Won,128,435.41,40578.82,34580.22,5998.6,19.1,3.8
2024-03-03,Q1 2024,Mar,Europe,Germany,Services,Support,Sophie Dupont,Enterprise,Negotiation,73,377.92,24912.11,19608.34,5303.77,14.0,3.9
2024-03-03,Q1 2024,Mar,North America,Canada,Subscriptions,Basic Plan,Elena Rodriguez,SMB,Lead,219,36.09,6241.16,3909.04,2332.12,7.1,3.0
2024-03-05,Q1 2024,Mar,Europe,UK,Subscriptions,Basic Plan,Hans Mueller,SMB,Lead,247,74.58,21840.25,12065.31,9774.94,1.2,4.1
